chi,restart_idx,seed,fidelity,entropy,energy,converged
2,0,20123,0.0013733560212372575,1.0055401528641659,-0.2661008756164828,False
2,1,21123,0.000423322095206885,1.454041197352785,-1.092291231100207,False
4,0,40123,0.014423075982088595,2.1202450954274785,0.031228656211759492,False
4,1,41123,0.005587865052078982,2.2141629917479833,0.24003105199274954,False
8,0,80123,0.0033878431722624805,2.273789410351512,0.2822332224374857,False
8,1,81123,0.0035644792858811917,2.2209100817520397,-0.16463030114823773,False
