timestamp,test_id,model,L,chi,seed,key_metrics,aic_delta,bic_delta,verdict,artifact_path,exit_code
2026-02-28T05:58:54.464403+00:00,claim_w02_poset_infimum,claim_check,0,n/a,42,"{""samples"": 2000, ""dims"": 5, ""failures"": 0}",,,PASS,results/science/claim_w02_poset_infimum,0
2026-02-28T05:58:54.464561+00:00,claim_w06_depth_vector_monotonicity,claim_check,0,n/a,n/a,"{""max_n"": 5000, ""axes"": [""geo"", ""int"", ""gauge"", ""ptr"", ""obs""], ""failure_count"": 0}",,,PASS,results/science/claim_w06_depth_vector_monotonicity,0
2026-02-28T05:58:54.464672+00:00,claim2_seed_perturbation,claim2,0,n/a,321,{},,,PASS,results/science/claim2_seed321,0
2026-02-28T05:58:54.464809+00:00,claim3_optionb_regime_check,optionB,32,"2,4,8",49,{},,,PASS,results/science/campaign,0
