chi,restart_idx,seed,fidelity,entropy,energy,converged
2,0,20042,0.003954727150891515,1.2009237485174522,-1.9633451570197047,False
2,1,21042,1.8690515850001978e-07,1.2125826986907873,-0.488068017724162,False
2,2,22042,0.003973097180222596,0.8263291080681608,-2.0660245921754155,False
4,0,40042,0.01034426926391157,2.2218611602034777,-0.2399246472443517,False
4,1,41042,0.00019915608472021105,2.130553375178051,0.27826803987685633,False
4,2,42042,0.00023932405420059466,2.0290421364696094,0.38256708221636454,False
